Date,Open,High,Low,Close*,Adj. close**,Volume
12-Jan-00,"1,438.56","1,442.60","1,427.08","1,432.25","1,432.25","974,600,000"
11-Jan-00,"1,457.60","1,458.66","1,434.42","1,438.56","1,438.56","1,014,000,000"
10-Jan-00,"1,441.47","1,464.36","1,441.47","1,457.60","1,457.60","1,064,800,000"
7-Jan-00,"1,403.45","1,441.47","1,400.73","1,441.47","1,441.47","1,225,200,000"
6-Jan-00,"1,402.11","1,411.90","1,392.10","1,403.45","1,403.45","1,092,300,000"
5-Jan-00,"1,399.42","1,413.27","1,377.68","1,402.11","1,402.11","1,085,500,000"
4-Jan-00,"1,455.22","1,455.22","1,397.43","1,399.42","1,399.42","1,009,000,000"
3-Jan-00,"1,469.25","1,478.00","1,438.36","1,455.22","1,455.22","931,800,000"
31-Dec-99,"1,464.47","1,472.42","1,458.19","1,469.25","1,469.25","374,050,000"
30-Dec-99,"1,463.46","1,473.10","1,462.60","1,464.47","1,464.47","554,680,000"
29-Dec-99,"1,457.66","1,467.47","1,457.66","1,463.46","1,463.46","567,860,000"
28-Dec-99,"1,457.09","1,462.68","1,452.78","1,457.66","1,457.66","655,400,000"
27-Dec-99,"1,458.34","1,463.19","1,450.83","1,457.10","1,457.10","722,600,000"
23-Dec-99,"1,436.13","1,461.44","1,436.13","1,458.34","1,458.34","728,600,000"
22-Dec-99,"1,433.43","1,440.02","1,429.13","1,436.13","1,436.13","850,000,000"
21-Dec-99,"1,418.09","1,436.47","1,414.80","1,433.43","1,433.43","963,500,000"
20-Dec-99,"1,421.03","1,429.16","1,411.10","1,418.09","1,418.09","904,600,000"
17-Dec-99,"1,418.78","1,431.77","1,418.78","1,421.03","1,421.03","1,349,800,000"
16-Dec-99,"1,413.32","1,423.11","1,408.35","1,418.78","1,418.78","1,070,300,000"
15-Dec-99,"1,403.17","1,417.40","1,396.20","1,413.33","1,413.33","1,033,900,000"
14-Dec-99,"1,415.22","1,418.30","1,401.59","1,403.17","1,403.17","1,027,800,000"
13-Dec-99,"1,417.04","1,421.58","1,410.10","1,415.22","1,415.22","977,600,000"
10-Dec-99,"1,408.11","1,421.58","1,405.65","1,417.04","1,417.04","987,200,000"
9-Dec-99,"1,403.88","1,418.43","1,391.47","1,408.11","1,408.11","1,122,100,000"
8-Dec-99,"1,409.17","1,415.66","1,403.88","1,403.88","1,403.88","957,000,000"
7-Dec-99,"1,423.33","1,426.81","1,409.17","1,409.17","1,409.17","1,085,800,000"
6-Dec-99,"1,433.30","1,434.15","1,418.25","1,423.33","1,423.33","916,800,000"
3-Dec-99,"1,409.04","1,447.42","1,409.04","1,433.30","1,433.30","1,006,400,000"
2-Dec-99,"1,397.72","1,409.04","1,397.72","1,409.04","1,409.04","900,700,000"
1-Dec-99,"1,388.91","1,400.12","1,387.38","1,397.72","1,397.72","884,000,000"
30-Nov-99,"1,407.83","1,410.59","1,386.95","1,388.91","1,388.91","951,500,000"
29-Nov-99,"1,416.62","1,416.62","1,404.15","1,407.83","1,407.83","866,100,000"
26-Nov-99,"1,417.08","1,425.24","1,416.14","1,416.62","1,416.62","312,120,000"
24-Nov-99,"1,404.64","1,419.71","1,399.17","1,417.08","1,417.08","734,800,000"
23-Nov-99,"1,420.94","1,423.91","1,402.20","1,404.64","1,404.64","926,100,000"
22-Nov-99,"1,422.00","1,425.00","1,412.40","1,420.94","1,420.94","873,500,000"
19-Nov-99,"1,424.94","1,424.94","1,417.54","1,422.00","1,422.00","893,800,000"
18-Nov-99,"1,410.71","1,425.31","1,410.71","1,424.94","1,424.94","1,022,800,000"
17-Nov-99,"1,420.07","1,423.44","1,410.69","1,410.71","1,410.71","960,000,000"
16-Nov-99,"1,394.39","1,420.36","1,394.39","1,420.07","1,420.07","942,200,000"
15-Nov-99,"1,396.06","1,398.58","1,392.28","1,394.39","1,394.39","795,700,000"
12-Nov-99,"1,381.46","1,396.12","1,368.54","1,396.06","1,396.06","900,200,000"
11-Nov-99,"1,373.46","1,382.12","1,372.19","1,381.46","1,381.46","891,300,000"
10-Nov-99,"1,365.28","1,379.18","1,359.98","1,373.46","1,373.46","984,700,000"
9-Nov-99,"1,377.01","1,383.81","1,361.45","1,365.28","1,365.28","854,300,000"
8-Nov-99,"1,370.23","1,380.78","1,365.87","1,377.01","1,377.01","806,800,000"
